samplename	Run	SRX	BioSample	GEO	drsc	time_point	target_FBgn	target_symbol	plate_id	plate_row	plate_column
SRR5010853	SRR5010853	SRX2341805	SAMN06009729	GSM2388015	DRSC30999	day3	FBgn0011766	E2f1	plate3	D	1
SRR5010854	SRR5010854	SRX2341806	SAMN06009728	GSM2388016	DRSC08706	day3	FBgn0025725	alphaCOP	plate3	D	2
SRR5010855	SRR5010855	SRX2341807	SAMN06009727	GSM2388017	DRSC21341	day3	FBgn0040305	MTF-1	plate3	D	3
SRR5010856	SRR5010856	SRX2341808	SAMN06009726	GSM2388018	DRSC25219	day3	FBgn0259938	cwo	plate3	D	4
SRR5010857	SRR5010857	SRX2341809	SAMN06009725	GSM2388019	DRSC27078	day3	FBgn0003870	ttk	plate3	D	5
SRR5010858	SRR5010858	SRX2341810	SAMN06009724	GSM2388020	DRSC29336	day3	FBgn0003507	srp	plate3	D	6
SRR5010859	SRR5010859	SRX2341811	SAMN06009723	GSM2388021	DRSC11122	day3	FBgn0004396	CrebA	plate3	D	7
SRR5010860	SRR5010860	SRX2341812	SAMN06009722	GSM2388022	DRSC22973	day3	FBgn0016694	Pdp1	plate3	D	8
SRR5010861	SRR5010861	SRX2341813	SAMN06009721	GSM2388023	DRSC25045	day3	FBgn0013263	Trl	plate3	D	9
SRR5010862	SRR5010862	SRX2341814	SAMN06009720	GSM2388024	DRSC39162	day3	FBgn0000097	aop	plate3	E	10
SRR5010863	SRR5010863	SRX2341815	SAMN06009719	GSM2388025	DRSC18766	day3	FBgn0000520	dwg	plate3	E	11
SRR5010864	SRR5010864	SRX2341816	SAMN06009718	GSM2388026	DRSC37262	day3	FBgn0264075	tgo	plate3	E	12
SRR5010865	SRR5010865	SRX2341817	SAMN06009717	GSM2388027	DRSC34559	day3	FBgn0001222	Hsf	plate3	E	1
SRR5010866	SRR5010866	SRX2341818	SAMN06009716	GSM2388028	DRSCNA	day3	FBgnNA	LacZ	plate3	E	2
SRR5010867	SRR5010867	SRX2341819	SAMN06009715	GSM2388029	DRSC40784	day3	FBgn0267821	darky	plate3	E	3
SRR5010868	SRR5010868	SRX2341820	SAMN06009714	GSM2388030	DRSC37563	day3	FBgn0261283	SREBP	plate3	E	4
SRR5010869	SRR5010869	SRX2341821	SAMN06009713	GSM2388031	DRSC16977	day3	FBgn0001297	kay	plate3	E	5
SRR5010870	SRR5010870	SRX2341822	SAMN06009712	GSM2388032	DRSC23134	day3	FBgn0004050	z	plate3	E	6
SRR5010871	SRR5010871	SRX2341823	SAMN06009711	GSM2388033	DRSC24447	day3	FBgn0003964	usp	plate3	E	7
SRR5010872	SRR5010872	SRX2341824	SAMN06009710	GSM2388034	DRSC27606	day3	FBgn0001291	kay	plate3	E	8
SRR5010873	SRR5010873	SRX2341825	SAMN06009709	GSM2388035	DRSC29930	day3	FBgn0264075	tgo	plate3	E	9
SRR5010874	SRR5010874	SRX2341826	SAMN06009708	GSM2388036	DRSC26054	day3	FBgn0016076	vri	plate3	F	10
SRR5010875	SRR5010875	SRX2341827	SAMN06009707	GSM2388037	DRSC28794	day3	FBgn0266411	sima	plate3	F	11
SRR5010876	SRR5010876	SRX2341828	SAMN06009706	GSM2388038	DRSC31100	day3	FBgn0002914	Myb	plate3	F	12
SRR5010877	SRR5010877	SRX2341829	SAMN06009705	GSM2388039	DRSC37618	day3	FBgn0039044	betaTub60D	plate3	F	1
SRR5010878	SRR5010878	SRX2341830	SAMN06009704	GSM2388040	DRSC25100	day3	FBgn0004198	CG31751	plate3	F	2
SRR5010879	SRR5010879	SRX2341831	SAMN06009703	GSM2388041	DRSC25984	day3	FBgn0013799	Deaf1	plate3	F	3
SRR5010880	SRR5010880	SRX2341832	SAMN06009702	GSM2388042	DRSC27700	day3	FBgn0001222	Hsf	plate3	F	4
SRR5010881	SRR5010881	SRX2341833	SAMN06009701	GSM2388043	DRSC30106	day3	FBgn0001168	yellow-h	plate3	F	5
SRR5010882	SRR5010882	SRX2341834	SAMN06009700	GSM2388044	DRSC37640	day3	FBgn0003345	sprd	plate3	F	6
SRR5010883	SRR5010883	SRX2341835	SAMN06009699	GSM2388045	DRSC20260	day3	FBgn0002914	Myb	plate3	F	7
SRR5010884	SRR5010884	SRX2341836	SAMN06009698	GSM2388046	DRSC23558	day3	FBgn0265784	CrebB	plate3	F	8
SRR5010885	SRR5010885	SRX2341837	SAMN06009697	GSM2388047	DRSCNA	day3	FBgnNA	LacZ	plate3	F	9
SRR5010886	SRR5010886	SRX2341838	SAMN06009770	GSM2388048	DRSC40910	day3	FBgn0003117	pnr	plate3	G	10
SRR5010887	SRR5010887	SRX2341839	SAMN06009769	GSM2388049	DRSC29174	day3	FBgn0000520	dwg	plate3	G	11
SRR5010888	SRR5010888	SRX2341840	SAMN06009768	GSM2388050	DRSC34905	day3	FBgn0013799	Deaf1	plate3	G	12
SRR5010889	SRR5010889	SRX2341841	SAMN06009767	GSM2388051	DRSC32517	day3	FBgn0016694	Pdp1	plate3	G	1
SRR5010890	SRR5010890	SRX2341842	SAMN06009766	GSM2388052	DRSC30105	day3	FBgn0052296	Mrtf	plate3	G	2
SRR5010891	SRR5010891	SRX2341843	SAMN06009762	GSM2388053	DRSC26006	day3	FBgn0261239	Hr39	plate3	G	3
SRR5010892	SRR5010892	SRX2341844	SAMN06009765	GSM2388054	DRSC30099	day3	FBgn0000611	exd	plate3	G	4
SRR5010893	SRR5010893	SRX2341845	SAMN06009764	GSM2388055	DRSCNA	day3	FBgnNA	LacZ	plate3	G	5
SRR5010894	SRR5010894	SRX2341846	SAMN06009763	GSM2388056	DRSC37529	day3	FBgn0267821	darky	plate3	G	6
SRR5010895	SRR5010895	SRX2341847	SAMN06009761	GSM2388057	DRSC37681	day3	FBgn0004050	z	plate3	G	7
SRR5010896	SRR5010896	SRX2341848	SAMN06009760	GSM2388058	DRSC31645	day3	FBgn0003118	pnt	plate3	G	8
SRR5010897	SRR5010897	SRX2341849	SAMN06009759	GSM2388059	DRSC32788	day3	FBgn0000097	aop	plate3	G	9
SRR5010898	SRR5010898	SRX2341850	SAMN06009758	GSM2388060	DRSC32737	day3	FBgn0001133	grau	plate3	H	10
SRR5010899	SRR5010899	SRX2341851	SAMN06009757	GSM2388061	DRSC35845	day3	FBgn0011656	Mef2	plate3	H	11
SRR5010900	SRR5010900	SRX2341852	SAMN06009756	GSM2388062	DRSC40438	day3	FBgn0004198	CG31751	plate3	H	12
SRR5010901	SRR5010901	SRX2341853	SAMN06009755	GSM2388063	DRSC40479	day3	FBgn0003345	sprd	plate3	H	1
SRR5010902	SRR5010902	SRX2341854	SAMN06009754	GSM2388064	DRSC37384	day3	FBgn0267978	ap	plate3	H	2
SRR5010903	SRR5010903	SRX2341855	SAMN06009753	GSM2388065	DRSC31616	day3	FBgn0001168	yellow-h	plate3	H	3
SRR5010904	SRR5010904	SRX2341856	SAMN06009752	GSM2388066	DRSC32506	day3	FBgn0052296	Mrtf	plate3	H	4
SRR5010905	SRR5010905	SRX2341857	SAMN06009751	GSM2388067	DRSC35747	day3	FBgn0001078	ftz-f1	plate3	H	5
SRR5010906	SRR5010906	SRX2341858	SAMN06009750	GSM2388068	DRSC40439	day3	FBgn0003870	ttk	plate3	H	6
SRR5010907	SRR5010907	SRX2341859	SAMN06009749	GSM2388069	DRSC37439	day3	FBgn0259938	cwo	plate3	H	7
SRR5010908	SRR5010908	SRX2341860	SAMN06009748	GSM2388070	DRSC37675	day3	FBgn0003866	tsh	plate3	H	8
SRR5010909	SRR5010909	SRX2341861	SAMN06009747	GSM2388071	DRSC31627	day3	FBgn0261283	SREBP	plate3	H	9
